Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEX,Value
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,19.58
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,2.64
2022,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,4.68
2022,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,2.02
2022,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,2.90
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,22.40
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.99
2023,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,2.63
2023,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,2.00
2023,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,0.39
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,23.20
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,2.07
2024,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,1.91
2024,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,2.32
2024,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080901_3C,,0.38
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,10.80
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,4.02
2016,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.53
2016,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,5.05
2016,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,0.67
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,13.94
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,3.27
2017,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,3.03
2017,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,3.59
2017,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.24
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,13.32
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.73
2018,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.94
2018,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.73
2018,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.25
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,14.79
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.33
2019,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,2.79
2019,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,0.97
2019,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,0.98
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,11.94
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.08
2020,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.93
2020,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,0.92
2020,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,0.65
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,11.88
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.43
2021,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.92
2021,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.30
2021,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.33
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,15.40
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,2.48
2022,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,4.32
2022,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.91
2022,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,2.77
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,17.73
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.85
2023,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,2.39
2023,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.87
2023,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,0.37
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,18.43
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.93
2024,UNIDAD_MEDIDA.PT,ES531,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,1.73
2024,UNIDAD_MEDIDA.PT,ES532,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,2.16
2024,UNIDAD_MEDIDA.PT,ES533,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080901_3D,,0.36
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,33.01
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,37.45
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,32.45
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,37.09
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,31.27
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,35.43
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,31.14
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,36.42
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,41.57
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,53.02
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,39.93
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,42.31
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,31.97
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,34.97
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,31.23
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,35.58
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,30.13
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,34.40
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,27.99
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,37.69
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,27.64
