Year,Units,general.territorio,Serie,DIM_DES.INSTITUCION,Value
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.40
2014,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.45
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.41
2015,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.45
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.41
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.45
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.42
2017,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.46
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.42
2018,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.46
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.42
2019,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.47
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.43
2020,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.48
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.43
2021,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.48
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.44
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.48
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.44
2023,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_I,INSTITUCION._L_INSTITUTION_09,1.48
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.43
2010,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.47
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.43
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.47
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.46
2012,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.49
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.46
2013,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.47
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.47
2014,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.47
2015,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.48
2015,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.46
2016,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.48
2016,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.48
2017,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.49
2017,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.49
2018,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.49
2018,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.48
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.50
2019,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.49
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.51
2020,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.50
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.51
2021,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.49
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.51
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.49
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.52
2023,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_J,INSTITUCION._L_INSTITUTION_10,1.50
2010,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.95
2010,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,1.00
2011,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.95
2011,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.99
2012,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.95
2012,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.99
2013,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.93
2013,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.98
2014,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_K,INSTITUCION._L_INSTITUTION_11,0.93
