Year,Units,general.territorio,Serie,general.series,DIM_DES.AGE,DIM_DES.SEX,Value
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,69.67
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,58.76
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,70.43
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,59.94
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,71.52
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,64.13
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,73.40
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,60.52
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,75.41
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,64.93
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,78.03
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,79.80
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,78.27
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,72.72
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,78.50
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,68.28
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,79.45
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_040102_02,AGE.Y20T22,SEX._T,68.95
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_040102_2A,AGE.Y20T22,SEX.M,62.94
