Year,Units,general.territorio,Serie,general.series,DIM_DES.COMPOSITE_BREAKDOWN,Value
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,46.06
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES.SP_PSR_SATIS_HLTH,COMPOSITE_BREAKDOWN._L_SERVICE_02,66.67
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,33.95
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,26.32
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,36.26
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,25.64
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,30.62
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,25.00
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,27.54
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,15.56
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,33.15
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,23.68
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,30.11
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,25.00
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,31.35
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,24.44
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,20.65
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,11.76
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,28.62
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,18.37
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,41.14
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,38.98
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,35.19
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,41.45
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,43.51
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,34.04
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,54.50
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,54.39
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,48.93
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_160602_1C,COMPOSITE_BREAKDOWN._L_SERVICE_03,53.84
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,15.66
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,13.16
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,14.35
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,11.11
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,12.40
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,1.82
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,11.60
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,4.00
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,15.47
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,12.50
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,15.07
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,17.39
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,18.50
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_E,SERIES._L_ES_160602_1D,COMPOSITE_BREAKDOWN._L_SERVICE_04,23.91
