Year,Units,general.territorio,Serie,general.series,DIM_DES.SEX,Value
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,91.20
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,98.20
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,91.90
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,98.00
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,90.40
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,98.80
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,92.10
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,98.90
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,92.30
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,98.90
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,92.90
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,98.30
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,95.40
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,98.60
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,96.50
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,98.30
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,95.60
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,98.30
2024,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_C,SERIES._L_ES_040202_03,SEX.F,96.90
