Year,Units,general.territorio,Serie,general.series,DIM_DES.ACTIVITY,DIM_DES.COMPOSITE_BREAKDOWN,Value
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-20.12
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-22.89
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-13.11
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-23.61
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-9.14
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-27.76
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-16.36
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-41.07
2020,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-46.26
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-35.61
2021,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-33.65
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-31.54
2022,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-26.43
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-35.86
2023,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_D,SERIES._L_ES_090401_06,,,-30.24
2010,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.36
2010,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.64
2011,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.34
2011,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.67
2012,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.31
2012,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.71
2013,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.24
2013,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.52
2014,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.22
2014,UNIDAD_MEDIDA.G_PER_EUR,ES53,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.48
2015,UNIDAD_MEDIDA.G_PER_EUR,ES,SERIE.SERIE_E,SERIES._L_ES_090401_04,,,0.28
