Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,12.77
2019,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEXO.M,9.26
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,9.96
2020,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEXO.M,9.16
2021,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,9.80
2021,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEXO.M,8.30
2022,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,9.88
2022,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEXO.M,7.87
2023,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,10.86
2023,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_B,SEXO.M,9.35
2012,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,9.41
2012,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEXO.F,8.02
2013,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,9.42
2013,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEXO.F,6.34
2014,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,8.90
2014,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEXO.F,7.40
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,8.39
2015,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEXO.F,6.46
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,8.16
2016,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEXO.F,8.89
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,7.25
2017,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEXO.F,8.28
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,7.33
2018,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEXO.F,9.05
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,7.30
2019,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEXO.F,3.77
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,5.65
2020,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEXO.F,3.90
2021,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,5.70
2021,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEXO.F,5.57
2022,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,5.44
2022,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEXO.F,3.99
2023,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,5.56
2023,UNIDAD_MEDIDA.PER_100000,ES53,SERIE.SERIE_C,SEXO.F,5.53
