Year,Units,general.territorio,Serie,general.series,DIM_DES.AGE,Value
2019,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.86
2019,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.96
2020,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.85
2020,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,1.04
2021,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.86
2021,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,1.15
2022,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.87
2022,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,1.10
2023,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.88
2023,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,1.10
2024,UNIDAD_MEDIDA.IX,ES,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.87
2024,UNIDAD_MEDIDA.IX,ES53,SERIE.SERIE_E,SERIES._L_ES_040501_03,AGE.Y15T64,0.83
