Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.ACTIVIDAD,Value
2020,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,254.27
2020,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.09
2021,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,241.40
2021,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.02
2010,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,13.76
2010,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,6.54
2011,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,13.31
2011,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,6.96
2012,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,13.21
2012,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,6.84
2013,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,13.59
2013,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,6.48
2014,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,14.62
2014,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,6.92
2015,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,14.58
2015,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,6.06
2016,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,14.49
2016,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,5.90
2017,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,15.22
2017,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,6.58
2018,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,14.70
2018,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,6.39
2019,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,14.36
2019,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,6.39
2020,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,15.02
2020,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,6.74
2021,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,14.28
2021,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,6.34
2010,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,206.07
2010,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.07
2011,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,204.20
2011,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.18
2012,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,203.99
2012,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.18
2013,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,202.00
2013,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.09
2014,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,204.90
2014,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,1.00
2015,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,209.27
2015,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,0.97
2016,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,212.79
2016,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,0.97
2017,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,215.99
2017,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,0.93
2018,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,221.19
2018,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,0.95
2019,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,220.93
2019,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,0.96
2020,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,224.00
2020,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,0.96
2021,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,224.57
2021,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,0.91
2010,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,25.54
2010,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,72.24
2011,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,24.32
2011,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,69.75
2012,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,24.40
